SiteCode,Plot,Competition,Rodents,Trt,Species,Fecundity,SeedSize_mg,Graminoid,Litterdepth,Year,numb,prec1,prod_m2
BN,246,+,+,++,ANMI,1244,0.0441,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,ARLU,4919,0.14,65,35.41666667,Seedlings,44,0.008944978,338.4
BN,246,+,+,++,ARLU,4919,0.14,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,ARSO,59,0.752,65,35.41666667,Seedlings,0,0,338.4
BN,246,+,+,++,ARSO,59,0.752,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,BASA,150,8.328,65,35.41666667,Seedlings,0,0,338.4
BN,246,+,+,++,BASA,150,8.328,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,ERPU,6629,0.0689,65,35.41666667,Seedlings,10,0.001508553,338.4
BN,246,+,+,++,ERPU,6629,0.0689,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,ERUM,494,2.164286,65,35.41666667,Seedlings,143,0.289661319,338.4
BN,246,+,+,++,ERUM,494,2.164286,65,35.41666667,Adults_Y3,5,0.010128018,338.4
BN,246,+,+,++,GAAR,230,3.92,65,35.41666667,Seedlings,5,0.02173913,338.4
BN,246,+,+,++,GAAR,230,3.92,65,35.41666667,Adults_Y3,1,0.004347826,338.4
BN,246,+,+,++,GETR,127,1.354558,65,35.41666667,Seedlings,4,0.031560072,338.4
BN,246,+,+,++,GETR,127,1.354558,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,GEVI,36,8.68,65,35.41666667,Seedlings,7,0.19648149,338.4
BN,246,+,+,++,GEVI,36,8.68,65,35.41666667,Adults_Y3,3,0.084206353,338.4
BN,246,+,+,++,HEVI,5177,0.581626,65,35.41666667,Seedlings,82,0.015838806,338.4
BN,246,+,+,++,HEVI,5177,0.581626,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,LIRU,138,31.084,65,35.41666667,Seedlings,26,0.188405797,338.4
BN,246,+,+,++,LIRU,138,31.084,65,35.41666667,Adults_Y3,22,0.15942029,338.4
BN,246,+,+,++,LOTR,37,3.652,65,35.41666667,Seedlings,0,0,338.4
BN,246,+,+,++,LOTR,37,3.652,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,LUSE,78,20.92,65,35.41666667,Seedlings,13,0.166666667,338.4
BN,246,+,+,++,LUSE,78,20.92,65,35.41666667,Adults_Y3,6,0.076923077,338.4
BN,246,+,+,++,PEPR,926,0.046,65,35.41666667,Seedlings,5,0.005397504,338.4
BN,246,+,+,++,PEPR,926,0.046,65,35.41666667,Adults_Y3,0,0,338.4
BN,246,+,+,++,POGL,12587,0.0956,65,35.41666667,Seedlings,155,0.012314465,338.4
BN,246,+,+,++,POGL,12587,0.0956,65,35.41666667,Adults_Y3,25,0.001986204,338.4
BN,246,+,+,++,ZIVE,290,1.375,65,35.41666667,Seedlings,0,0,338.4
BN,246,+,+,++,ZIVE,290,1.375,65,35.41666667,Adults_Y3,0,0,338.4
BN,251,-,-,--,ACMI,1277,0.0884,25,22.08333333,Seedlings,104,0.081440877,338.4
BN,251,-,-,--,ACMI,1277,0.0884,25,22.08333333,Adults_Y3,13,0.01018011,338.4
BN,251,-,-,--,ANMI,1244,0.0441,25,22.08333333,Seedlings,0,0,338.4
BN,251,-,-,--,ANMI,1244,0.0441,25,22.08333333,Adults_Y3,1,0.000803565,338.4
BN,251,-,-,--,ARLU,4919,0.14,25,22.08333333,Seedlings,12,0.002439539,338.4
BN,251,-,-,--,ARLU,4919,0.14,25,22.08333333,Adults_Y3,0,0,338.4
BN,251,-,-,--,ARSO,59,0.752,25,22.08333333,Seedlings,7,0.118055556,338.4
BN,251,-,-,--,ARSO,59,0.752,25,22.08333333,Adults_Y3,0,0,338.4
BN,251,-,-,--,BASA,150,8.328,25,22.08333333,Seedlings,14,0.093333333,338.4
