Site,Species,Seed_loss_percent,SeedSize_mg_log10
KL,PEPR,0,-1.301029996
KL,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
BN,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MS,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
MG,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BF,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
BN,POGL,0,-1
